,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,param_degree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,0.0045511722564697266,0.0035704146787704258,0.006586599349975586,0.002258963319570963,0.1,linear,,,"{'C': 0.1, 'kernel': 'linear'}",1.0,0.9354838709677419,1.0,0.9666666666666667,0.9,0.9604301075268818,0.03858642265032448,36,1.0,0.8888888888888888,1.0,1.0,0.875,0.9527777777777778,0.05800170282728085,77,1.0,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.9111111111111111,0.08314794192830981,3,1.0,0.8888888888888888,1.0,0.9411764705882353,0.823529411764706,0.9307189542483659,0.06774723409071862,19
1,0.0022621631622314455,0.00012133762144436902,0.0050048828125,0.00019078552050229023,1,linear,,,"{'C': 1, 'kernel': 'linear'}",1.0,0.9354838709677419,1.0,0.9666666666666667,0.9,0.9604301075268818,0.03858642265032448,36,1.0,0.8888888888888888,1.0,1.0,0.875,0.9527777777777778,0.05800170282728085,77,1.0,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.9111111111111111,0.08314794192830981,3,1.0,0.8888888888888888,1.0,0.9411764705882353,0.823529411764706,0.9307189542483659,0.06774723409071862,19
2,0.0022768020629882813,0.0003416425466173688,0.004937028884887696,0.0004548995649685077,10,linear,,,"{'C': 10, 'kernel': 'linear'}",1.0,0.9354838709677419,1.0,0.9666666666666667,0.9,0.9604301075268818,0.03858642265032448,36,1.0,0.8888888888888888,1.0,1.0,0.875,0.9527777777777778,0.05800170282728085,77,1.0,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.9111111111111111,0.08314794192830981,3,1.0,0.8888888888888888,1.0,0.9411764705882353,0.823529411764706,0.9307189542483659,0.06774723409071862,19
3,0.002187633514404297,0.0003202243808110369,0.00480036735534668,0.0002290098706401035,100,linear,,,"{'C': 100, 'kernel': 'linear'}",1.0,0.9354838709677419,1.0,0.9666666666666667,0.9,0.9604301075268818,0.03858642265032448,36,1.0,0.8888888888888888,1.0,1.0,0.875,0.9527777777777778,0.05800170282728085,77,1.0,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.9111111111111111,0.08314794192830981,3,1.0,0.8888888888888888,1.0,0.9411764705882353,0.823529411764706,0.9307189542483659,0.06774723409071862,19
4,0.0021557331085205076,0.00013953793558879452,0.004940462112426758,0.0001142665806690847,1000,linear,,,"{'C': 1000, 'kernel': 'linear'}",1.0,0.9354838709677419,1.0,0.9666666666666667,0.9,0.9604301075268818,0.03858642265032448,36,1.0,0.8888888888888888,1.0,1.0,0.875,0.9527777777777778,0.05800170282728085,77,1.0,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.9111111111111111,0.08314794192830981,3,1.0,0.8888888888888888,1.0,0.9411764705882353,0.823529411764706,0.9307189542483659,0.06774723409071862,19
5,0.00299983024597168,4.96092634552965e-05,0.0059278011322021484,0.00015101930407127135,0.1,rbf,0.001,,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.9354838709677419,0.7741935483870968,0.8064516129032258,0.9333333333333333,0.7666666666666667,0.8432258064516128,0.075643919409604,112,1.0,0.625,0.6666666666666666,1.0,0.75,0.8083333333333332,0.1615893285805443,112,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.6222222222222222,0.16629588385661961,120,0.8750000000000001,0.5882352941176471,0.6666666666666666,0.8750000000000001,0.46153846153846156,0.693288084464555,0.1621672697351405,112
6,0.0030103683471679687,7.056394093977366e-05,0.005130290985107422,8.193388976929106e-05,0.1,sigmoid,0.001,,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.8064516129032258,0.8709677419354839,0.8064516129032258,0.8333333333333334,0.8,0.8234408602150538,0.026394728589361316,115,1.0,1.0,0.7142857142857143,1.0,1.0,0.9428571428571428,0.11428571428571428,104,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.4444444444444445,0.09938079899999068,125,0.5,0.7142857142857143,0.6250000000000001,0.6153846153846153,0.5,0.5909340659340659,0.08186813186813188,115
7,0.003007793426513672,0.00023354258296793008,0.007619667053222656,0.0020068734387678412,0.1,rbf,0.01,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7,0.7,0.7187096774193549,0.019290214693840086,117,0.0,1.0,1.0,0.0,0.0,0.4,0.48989794855663565,118,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.04444444444444444,0.05443310539518174,131,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.07999999999999999,0.09797958971132711,131
8,0.0042572021484375,0.0005547041763064775,0.006728935241699219,0.0007224277046793828,0.1,sigmoid,0.01,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7,0.7,0.7187096774193549,0.019290214693840086,117,0.0,1.0,1.0,0.0,0.0,0.4,0.48989794855663565,118,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.04444444444444444,0.05443310539518174,131,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.07999999999999999,0.09797958971132711,131
9,0.0037361621856689454,0.0005281805678679772,0.007470703125,0.0006148794465549742,0.1,rbf,0.1,,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7,0.7,0.7058064516129032,0.004740947889257803,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133
